,list_price,bathrooms,sqft,parking,mean_district_income,district_code,final_price_transformed,final_price_log,bedrooms_ag,bedrooms_bg
0,870000,2,850.0,1,56526,76,2.391687120704283,13.658856747918897,2,1
2,549900,1,550.0,0,57039,104,2.3900530308108943,13.217673557208654,1,0
3,600000,1,650.0,1,70623,82,2.3907932372018963,13.407542319637992,1,1
5,289000,1,250.0,1,44101,18,2.3882793214283837,12.815838217151068,0,0
6,2798000,5,2750.0,2,169203,103,2.3947694789531435,14.808762330974558,4,0
7,199000,2,1100.0,1,27984,25,2.384951242993873,12.206072645530174,3,0
8,954900,2,1300.0,1,85340,99,2.392118320431938,13.790192749979983,2,0
9,269900,1,650.0,1,29573,132,2.386692789300629,12.505806799006097,1,0
11,1399900,5,3250.0,4,35047,119,2.3934305192555474,14.24077829336862,4,2
12,1990000,4,2750.0,2,63012,71,2.394373690146053,14.626440774180605,3,1
13,2150000,3,1750.0,2,100516,40,2.394215899700546,14.557447902693651,4,0
14,369000,1,250.0,1,52787,14,2.388139709727693,12.7868906411162,0,0
15,679900,1,1100.0,1,67757,42,2.390736294028498,13.39239051461739,3,1
17,629990,2,750.0,1,54438,17,2.3906491247303663,13.369379693130094,2,1
20,299000,1,750.0,1,31692,126,2.387667952652459,12.691580461311874,1,0
21,798000,2,900.0,2,54438,17,2.391687120704283,13.658856747918897,3,0
22,469000,1,650.0,1,38527,31,2.3894671553391755,13.077366011473591,1,1
23,739000,2,1100.0,1,53583,75,2.3913488023338427,13.560618308335483,2,0
24,579000,1,900.0,1,34059,111,2.390231613543553,13.262125319779487,2,0
26,409999,1,1100.0,1,29958,27,2.388752216418073,12.916568464424731,2,0
28,559900,1,750.0,0,35207,85,2.39008965673556,13.226723392728571,2,0
29,729000,3,1750.0,1,34168,26,2.391111106640755,13.493926933836812,3,0
30,1249000,2,1750.0,0,50694,81,2.3928490718851783,14.03062193758122,3,0
31,625000,2,850.0,1,63012,71,2.390557802484917,13.34550692871854,2,0
32,1500000,4,2374.0,2,39740,93,2.3929842806890016,14.077874822431763,3,0
33,650000,2,850.0,1,44576,37,2.3905883847744755,13.353475098367715,2,1
35,1189000,4,1300.0,2,46206,65,2.3929842806890016,14.077874822431763,3,1
36,778800,2,1300.0,1,39740,93,2.3912446103365474,13.531156275605168,3,0
37,510000,1,650.0,0,53583,75,2.389675621232747,13.126355398673866,1,0
38,649000,2,850.0,1,57039,104,2.390592432386129,13.35453168284284,1,1
39,749900,2,950.0,1,39740,93,2.391303030944816,13.547631112808672,3,0
40,689900,2,1300.0,1,62378,12,2.3908212559471185,13.415032991367148,2,1
41,369000,1,250.0,1,32913,139,2.388036379511177,12.765688433465597,0,0
43,469900,2,1100.0,1,35786,43,2.3893244675658982,13.044401835934616,3,0
44,1189999,4,2750.0,2,54324,62,2.3926508042198997,13.962971482622224,3,1
45,719000,2,850.0,1,32648,74,2.3910094213123414,13.465953081794405,2,0
46,355000,1,750.0,1,31383,125,2.3880987494478543,12.77846362495432,1,1
47,1179000,2,1300.0,2,54324,62,2.3925620458262067,13.933293593620656,3,1
49,635000,1,650.0,0,70600,77,2.3905883847744755,13.353475098367715,1,0
50,1569000,4,2250.0,2,54438,17,2.3934391507815933,14.244040939003437,4,0
51,548000,1,550.0,0,53583,75,2.39000545540522,13.205968961259126,1,0
52,418800,2,1100.0,1,30827,115,2.388808201890503,12.928778628331663,2,1
54,899000,3,1750.0,2,112766,95,2.392801925109618,14.01436141670944,3,1
55,619000,1,650.0,0,70600,77,2.3905731367832224,13.349498949988076,1,0
56,289000,1,650.0,1,28654,44,2.3874270254040817,12.644327576461327,1,0
57,438000,1,250.0,0,70600,77,2.3893943424263626,13.06048797368624,0,0
